
version	2021090501	整理全部题目, 缺少结语

Strongly Disagree\n1	完全\n不同意\n1
How often do you think about your race in fandom spaces? Is it usually in a positive, neutral, or negative manner? In what contexts does it come up, if it comes up at all?	你是否会经常考虑自己的种族（人种）在兽圈中产生的各种问题？这些问题通常是积极的、中性的还是消极的？如果这些问题会出现，一般会在什么环境里？


We recognize that people can identify in many ways when it comes to gender, but some analyses require us to have participants only in one category. Which of the following categories best describes you? (You will have an opportunity to be more precise or clarify in the next question).	我们注意到当人们提及性别认同，往往会涉及多种分类，但是很多问题在分析时都要求我们只能使用一类标准。以下哪个词汇能够最恰当的描述你的性别？
Cis-woman	顺性别女
Cis-man	顺性别男
Trans woman	跨性别女
Trans man	跨性别男
Genderqueer / Non-binary / Gender non-conforming / Agender	性别酷儿/非二元性别/性别未定/无性别

How would you most accurately describe your gender identity?	请更精确地描述你的性别认同？


How often do you think about your gender in fandom spaces? Is it usually in a positive, neutral, or negative manner? In what contexts does it come up, if it comes up at all?	你是否会经常考虑自己的性别认同在兽圈中产生的各种问题？这些问题通常是积极的、中性的还是消极的？如果这些问题会出现，一般会在什么环境里？


What is your sexual orientation? Select the option which best describes you from the choices below.	你的性取向是什么？请选择下面最符合你的一项
Lesbian, gay, or homosexual	男女同性恋
Straight or heterosexual	异性恋
Bisexual	双性恋
Pansexual	泛性恋
Asexual	无性恋
Demisexual	半性恋
I don't know	我不知道
Something else (please specify)	其他（请注明）


People can identify with many different labels (e.g., daughter, friend, student, American, gay, transgender, Indigenous, etc.) Do any of your identities / labels ever affect your identity as a furry or experience in furry spaces?	人们可以用不同的标签来表明自己或他人的身份，比如“女儿”、“朋友”、“学生”、“美国人”、“Gay”、“跨性别者”、“土著”等。是否有一些标签影响到了你在兽圈中的经历？


What is your current relationship status? (Select all that apply)	你的婚恋状况如何？
Not Partnered	单身
Dating	恋爱中
Polyamorous	多边关系
Engaged	已订婚
Married / Common Law	已婚/契约意义(闪婚)
Widowed	丧偶
Divorced	离异


Please answer the following questions thinking about your current or most recent romantic/relationship partner(s) or significant other(s).	在回答接下来的问题时，请参照时间上最近的情感关系。
Emotional intimacy is necessary in my relationship(s)	情感上的亲密在我们的关系中相当重要
Sexual intimacy is necessary in my relationship(s)	性关系在我们的关系中相当重要
Trust is necessary in my relationship(s)	我们的关系中信任是不可或缺的
Consent is necessary in my relationship(s)	征得每一方同意在我们的关系中是不可或缺的
I would enjoy seeing my partner(s) have meaningful emotional connections with others	我很乐意看到我的对象在精神上与别人闺蜜
I would enjoy seeing my partner(s) have meaningful sexual connections with others	我很乐意见到我的对象和别人发生有意义的性关系(负责任有性同意的性关系，不是乱约)
I would feel jealous if someone else pays sexual attention to my partner(s)	如果有人表现出对我对象性方面的倾慕，我会很嫉妒
I would feel jealous if someone else pay emotional attention to my partner(s)	如果有人在情感上被我的对象吸引，我会很嫉妒
I would be upset if my partner(s) were sexually interested in someone other than me	如果我的对象表现出了对我以外的人发生性关系的倾向，我会很失望
I would be upset if my partner(s) were emotionally interested in someone other than me	如果我的对象情感上被我以外的人吸引，我会很失望
I am satisfied with my relationship(s)	我对我现在的这段关系很满意
Sexual fidelity (no sex with people outside of the agreed
relationship(s)) is important to me	性忠诚对我来说非常重要 *性忠诚：在已经确定的关系之外，不与他人发生性关系
Emotional fidelity (no strong emotional bonds outside of the agreed relationship(s)) is important to me	情感忠诚对我来说非常重要 *情感忠诚：在已经确定的关系之外，不与他人产生强烈的好感
I have a strong, consistent sense of knowing who I am as a person.	作为一个人，我对于“我是谁”这个问题一直很明确


Please read each of the following statements and rate the extent to which it describes your feelings about romantic relationships. Please think about all your relationships (past and present) and respond in terms of how you generally feel in these relationships. If you have never been involved in a romantic relationship, answer in terms of how you think you would feel.	以下每句话都是对感情生活的描述。请回忆你所有的感情史（包括过去的和现在的），并且选择最符合你感受的特点。如果你没有感情史，就预测自己是否符合以下描述。
I find it relatively easy to get close to people.	我觉得与人亲近还算简单.
I find it difficult to allow myself to depend on others.	我很难让自己依靠他人。
I often worry that romantic partners don't really love me.	我经常担心我的伴侣（配偶）不是真的爱我。
I find that others are reluctant to get as close as I would like.	我总有点热脸贴人冷屁股。
I am comfortable depending on others.	依靠他人时我感到舒服。
I don’t worry about people getting too close to me.	我不担心别人和我走得太近。
I find that people are never there when you need them.	当我需要他人时，他们总是不在场。
I am somewhat uncomfortable being close to others.	与别人走得太近让我感到不适。
I often worry that romantic partners won’t want to stay with me.	我总担心伴侣（配偶）不想和我在一起。
When I show my feelings for others, I'm afraid they will not feel the same about me.	当我向别人倾诉的时候，我担心他们不能与我共情。
I often wonder whether romantic partners really care about me.	我时常怀疑伴侣（配偶）是否真的在意我。
I am comfortable developing close relationships with others.	能够与他人密切交往令我感到舒适。 
I am uncomfortable when anyone gets too emotionally close to me.	当别人和我在情感上走得太近时，我会感到不适。
I know that people will be there when I need them.	当我需要他人的帮助时，我相信他们就在那里。
I want to get close to people, but I worry about being hurt.	我想接近别人，又怕心灵被他人刺伤。
I find it difficult to trust others completely.	完全相信别人对我来说特别困难。
Romantic partners often want me to be emotionally closer than I feel comfortable being.	伴侣（配偶）总是想让我与TA更亲密一些，即使我会感到不适。
I am not sure that I can always depend on people to be there when I need them.	我不确定当我需要帮助的时候人们会不会伸出援手.


If you are currently in a relationship, please answer the following questions. If you are in a relationship with more than one person, please answer the questions about one partner. If you are not currently in a relationship, please go to the next page. 	如果你现在正处在一段浪漫关系之中，请回答以下问题。如果你所处的这段关系包含有不止一个人，请针对其中一人回答你的问题。如果你现在并没有在恋爱之中，请跳到下一页
How well does your partner meet your needs?	你的对象有多能满足你的需求（从物质到情感都包括的广义上的需求）？
In general, how satisfied are you with your relationship?	总的来说，你对你现在的关系有多满意？
How good is your relationship compared to most?	你觉得你的关系与其他人比起来怎样？
How often do you wish you hadn’t gotten into this relationship?	你希望自己从未开启这段关系的想法有多频繁？
To what extent has your relationship met your original expectations?	你的关系与你最初的期待比起来如何？
How much do you love your partner?	你有多爱你的对象?
How many problems are there in your relationship?	你的关系之中有多少问题？


Please rate your agreement with the following items.	请对以下事物表达你的同意程度
Furries who are older than me...	比我年长的兽迷...
Furries who are younger than me...	比我年轻的兽迷...
tend to intimidate other furries.	容易去威胁/恐吓别的小动物
are too cliquish.	更排外
are too accepting or tolerant of questionable groups in the furry fandom.	对于圈内那些有问题行为的群体容忍度太高了。
are bigoted or unaccepting of others who are different.	很偏执, 或者不愿意接受不同的声音
are clumsy or awkward with technology.	跟不上科技的发展
behave inappropriately in fandom spaces.	在圈子里表现的不太好
are overly judgmental.	太喜欢指手画脚品头论足 
are difficult to interact with.	难以互动
are making the fandom worse.	让兽圈不如从前了
think they know more than they do about the furry fandom.	觉得自己对圈子懂得很多，其实则不然
have a sense of entitlement.	自视甚高
are uncomfortable to be around.	呆在他们身边很让人不舒服。
cause a lot of drama / conflict in the fandom.	导致了圈子中很多的瓜/冲突
are too open toward sex in the fandom.	在圈子里对于性过于开放
make fandom spaces more political.	让圈子的政治性变得更严重了
make the furry fandom more kinky / sexual.	让圈子变得更加少儿不宜。


I often feel like I can be myself in fandom spaces.	我觉得在圈子里我能够做我自己 
I often feel like I can’t be myself in fandom spaces.	我觉得在圈子里我不能做我自己
I often feel like I can be myself in my day-to-day life.	我觉得自己在日常生活中能够做我自己
I often feel like I can’t be myself in my day-to-day life.	我觉得自己在日常生活中不能做我自己
I often feel like I’m “putting on an act” for others in fandom spaces.	我觉得在圈子中我需要为了别人“戴上面具”
I often feel like I’m “putting on an act” for others in my day-to-day life.	我觉得在日常生活中我需要为了别人“戴上面具”


I was frequently bullied when I was younger.	在我更小一些的时候我经常被霸凌
I am regularly bullied in my current day-to-day life.	我在日常生活中经常被霸凌
I was rarely, if ever bullied when I was younger.	在我小时候我几乎没有被霸凌过
I am rarely, if ever bullied in my current day-to-day life.	我在日常生活中基本没有被霸凌过。
On occasions where I have been bullied, it was usually by non-furries.	当我被霸凌的时候，一般是圈子外的人对我进行霸凌
On occasions where I have been bullied, it was usually by other furries.	当我被霸凌的时候，一般是圈内人对我进行霸凌
On occasions where I have been bullied, it was usually physical (e.g., being hit).	当我被霸凌的时候，一般都是身体上的（例如：被打）
On occasions where I have been bullied, it was usually verbal (e.g.,teasing).	当我被霸凌的时候，一般都是口头上的（例如：恶意的玩笑）
On occasions where I have been bullied, it was usually social (e.g.,being left out, rumors).	当我被霸凌的时候，一般都是社交性质的（例如：被排挤，造谣）
On occasions where I have been bullied, it was usually because of my interest in furry.	当我被霸凌的时候，都是因为我关于兽圈的兴趣。
On occasions where I have been bullied, it was usually for reasons that were unrelated to my interest in furry.	当我被霸凌的时候，一般都是出于与兽圈无关的原因
Being a furry has caused me to experience more bullying than I would have experienced if I were not a furry.	作为一位兽迷，我受到了比如果我不是兽迷的情况下更多的霸凌。


I am committed to being a furry.	我坚定的认为自己是一位兽迷
I am an expert on furries.	我是兽迷事项的专家
I am one of the biggest furry fans.	我是骨灰级福瑞控
I follow everything (e.g., media, news, events) related to furries.	我关注了各种（例如音视频，新闻，事件等）关于兽圈的信息
I see myself as a member of the furry community.	我自认为属于兽圈这个大家庭
I own a lot of stuff related to furry.	我有很多与兽圈相关的东西/物件
One of the main reasons that I like being a furry is so I can profit from it.	我喜欢做一位兽迷的重要理由之一是我能从中获取经济利益。
Being a furry gives me a sense of self-esteem.	做一位兽迷给了我自尊
My actions as a furry make me feel like I’ve accomplished something.	我在兽圈做的事给我了一种成就感。
I spend most of my time focusing on my furry interest while ignoring other fan interests.	我把大部分时间花在了兽圈这个兴趣圈子上面而不是其他圈子
I like being a furry because it provides me with a distraction from daily life for awhile.	我喜欢做一位兽迷，因为这给了我一个能够从日常生活中脱离出来的机会
My furry interest exposes me to novel experiences.	我对于兽圈的兴趣带给我了难忘的经历。 
I am drawn to the emotional drama involved in being a furry.	我喜欢吃兽圈里面的各种瓜。
One of the main reasons that I like furry content is for the artistic value.	我喜欢兽迷内容的一个重要原因是其中所包含的艺术价值
Being a furry gives me a sense of “meaning” in my life.	做一位兽迷给了我生活的“意义”。
Being a furry has helped me grow as a person.	作为一位兽迷帮助了我个人的成长。 
Being a furry makes me feel distinct and unique compared to other people.	做一位兽迷让我觉得自己比其他人更加独特。
I am more creative because I am a furry.	我因为是一位兽迷而变得更为有创造力。


I get the emotional support I need from the furry community.	我能从兽圈中获得需要的精神上的支持。
I can talk about my problems within the furry community.	我能在兽圈中谈论我所遇到的问题。
I can share my joys and sorrows within the furry community.	我能和圈子里的大家分享我的喜怒哀乐。
I consider the furry community to be a source of comfort for me.	我认为兽圈是一个能够让我安心的存在。


For each statement below, please indicate your agreement or disagreement using the appropriate number from the following rating scale.	对于下面的说法，请为你的同意程度用以下计量表打分。
Whenever I feel positive emotions, people can easily see exactly what I am feeling.	当我有正向情感的时候，人们能够轻松的看出来。
I sometimes cry during sad movies.	看悲伤的电影经常会让我流泪
People often do not know what I am feeling.	人们一般都不知道我真正的感觉。
I laugh out loud when someone tells me a joke that I think is funny.	当别人跟我讲好笑的笑话的时候我能够放声大笑。
It is difficult for me to hide my fear.	我很难去掩藏自己的恐惧.
When I'm happy, my feelings show.	当我高兴的时候，我的情绪表现的很清楚。
My body reacts very strongly to emotional situations.	我的身体会对于我的情绪有强烈的反应。
I've learned it is better to suppress my anger than to show it.	我意识到我应该压抑自己的愤怒而不是表现出来。
No matter how nervous or upset I am, I tend to keep a calm exterior.	不管我有多紧张或失落，我都倾向于去保持一个冷静的外表
I am an emotionally expressive person.	我是一个乐于表现自己情绪的人
I have strong emotions.	我的情感一般都很强烈。
I am sometimes unable to hide my feelings, even though I would like to.	有些时候哪怕我很想，我也不能够掩藏自己的情绪。
Whenever I feel negative emotions, people can easily see exactly what I am feeling.	当我有负面情绪的时候，人们很轻易就能看出我的想法。
There have been times when I have not been able to stop crying even though I tried to stop.	我曾有过哪怕很想也无法停止哭泣的经历
I experience my emotions very strongly.	我情绪的表达往往相当激烈
What I'm feeling is written all over my face	我的想法往往会写在脸上


Below are statements that people sometimes make about themselves. Please indicate whether or not you believe each statement applies to you	下面这些是人们常常对自己做出的认识。请指出你是否认为下面的描述符合自己
Are you inclined to keep in the background on social occasions?	在社交活动时，你是否倾向于成为背景板（电灯泡）？
Do you like to mix socially with people?	你是否喜欢和别人社交？
Are you inclined to limit your acquaintances to a select few?	你会把自己的熟人圈子限制成很小的一个吗？
Do you like to have many social engagements?	你是否愿意进行很多的社交？
Would you rate yourself as a happy-go-lucky individual?	你觉得自己是个随遇而安有什么算什么的人吗？
Can you usually let yourself go and have a good time at a party?	你能够在派对上面放开自己吗？
Would you be very unhappy if you were prevented from making numerous social contacts?	如果自己不能够进行很多的社交你会很不开心吗？
Do you usually take the initiative in making new friends?	你会很主动的结交朋友吗？
Do you like to play pranks upon others?	你喜欢对他人恶作剧吗？
Are you usually a "good mixer?"	你是个能很快“合群”的人吗？
Do you often "have the time of your life" at social affairs?	在社交活动中，你经常“感觉人生达到了高潮”吗？
Do you derive more satisfaction from social activities than from anything else?	你从社交活动中得到了别处无可比拟的快乐吗？


Take a moment to think about the different groups of people in your life. Think about how important they are to you: If everything in your life were suddenly thrown into chaos, how important would it be that you hold onto these groups? Please rank their importance to you from 1 (Most Important to Me) to 10 (Least Important to Me) by clicking and dragging the options below.	花一点时间看看下面这些你生命中的出现的人们，思考一下他们对于你的重要性：如果你的生活突然陷入混乱，这些群体中哪些是你更想留住的？请通过拖拽为他们排序，而顺序从1（对你最重要）到10（对你最不重要）
Online furries	网上的兽迷朋友
In-person furries	线下的兽迷朋友
Other fan groups I'm a part of	你所在其他兴趣圈子中的朋友
Friends who are not in the same fan groups that I am	和你并不在同一个圈子的（其他兴趣圈子里的）朋友
Your immediate family	你的直系亲属
Your distant relatives	你的七大姑八大姨
Neighbors	邻居
Work / School colleagues	同事、同学
Your romantic relationship(s)	你的恋人
Other non-fan groups that you're a part of	你所在的其他非兴趣圈子


The furry fandom should be a place where all people feel safe.	兽圈应该是一个能够让所有人都感到安全的地方
The furry fandom should be a place where people can express themselves freely.	兽圈应该是一个大家能自由表达自己观点的地方
The furry fandom should be a judgment-free space.	兽圈应该是一个不对他人任意评判的地方
The furry fandom should be a politics-free space.	兽圈应该是一个不谈政治的地方
The furry fandom should be a place for political expression and advocacy.	兽圈应该是一个可以让大家表达自己政治倾向的地方
The furry fandom should be a place for having fun, nothing more.	兽圈就应该是为了让大家开心，仅此而已。
Free speech in the furry fandom is more important than the worries or concerns of some furries.	在兽圈中言论自由要比一些兽迷的担心和忧虑更为重要
Having everyone feel safe in the furry fandom is more important than the right of furries to freely express their opinion.	让所有的兽迷都有安全感，要比大家能自由表达自己观点更为重要
Some opinions do not belong in the furry fandom.	有些言论就不属于兽圈
The furry fandom should be accepting of all people, no matter what.	不论怎样兽圈都应该能够对所有人敞开大门。


What is your political affiliation?	你的政治立场/派别是什么？
Do you feel comfortable expressing your political identity in the fandom?	当你在兽圈中表达政治立场时，你是否感到自在？


Do you think the fandom has become more political, less political, or has stayed about as political as it has been in the past?	你认为在过去的一段时间中，兽圈是更政治化了、去政治化了，还是政治化程度基本没变？


Has anything ever stopped you from attending a furry convention / meetup or from participating in an online furry forum / chatroom?	是否有某些因素阻止你参加兽展兽聚，或融入论坛、聊天室等？


I am emotionally connected to being a furry.	我情感上与我的兽迷身份密不可分。
I strongly identify with being a furry.	我强烈的认同自己是一位兽迷。
Being a furry is part of me.	成为兽迷是我不可或缺的一部分。
I strongly identify with other furries in the furry community.	我对兽圈里的其他兽迷有强烈的归属感。
I am glad to be a member of the furry community.	我很高兴作为兽圈的一员。
I see myself as a member of the furry community.	我觉得自己是兽圈的一员。


How frequently would you say that you engage in each of the following activities as part of your furry interests?	您参与以下兽圈活动的频率是怎样的呢？
Attending conventions/large gatherings.	参加兽展/大型聚会
Attending local meet-ups with other fans.	参加本地线下小聚。
Reading furry-related forums.	阅读兽圈有关的论坛。
